sample_geo_accession	sample_series_id.x	sample_name	super_tissue	tissue	cell_type	sex	age	donor	technology
GSM3823939	GSE131882	control_sample_1_snrnaseq_	Kidney	Kidney					Single-cell RNA
GSM3823940	GSE131882	control_sample_2_snrnaseq_	Kidney	Kidney					Single-cell RNA
GSM3823941	GSE131882	control_sample_3_snrnaseq_	Kidney	Kidney					Single-cell RNA
GSM4572187	GSE151302	healthy1_snatacseq	Kidney	Kidney		male	54		Single-cell ATAC
GSM4572188	GSE151302	healthy2_snatacseq	Kidney	Kidney		male	62		Single-cell ATAC
GSM4572189	GSE151302	healthy3_snatacseq	Kidney	Kidney		female	61		Single-cell ATAC
GSM4572190	GSE151302	healthy4_snatacseq	Kidney	Kidney		male	50		Single-cell ATAC
GSM4572191	GSE151302	healthy5_snatacseq	Kidney	Kidney		female	52		Single-cell ATAC
GSM4572192	GSE151302	healthy1_snrnaseq	Kidney	Kidney		male	54		Single-cell RNA
GSM4572193	GSE151302	healthy2_snrnaseq	Kidney	Kidney		male	62		Single-cell RNA
GSM4572194	GSE151302	healthy3_snrnaseq	Kidney	Kidney		female	61		Single-cell RNA
GSM4572195	GSE151302	healthy4_snrnaseq	Kidney	Kidney		male	50		Single-cell RNA
GSM4572196	GSE151302	healthy5_snrnaseq	Kidney	Kidney		female	52		Single-cell RNA
GSM4873488	GSE152300, GSE152302	kidney_cortex-atac-seq-donor1	Kidney	Kidney Cortex					Bulk ATAC
GSM4873489	GSE152300, GSE152302	kidney_cortex-atac-seq-donor2	Kidney	Kidney Cortex					Bulk ATAC
GSM4873490	GSE152300, GSE152302	kidney_cortex-atac-seq-donor3	Kidney	Kidney Cortex					Bulk ATAC
GSM4873491	GSE152300, GSE152302	kidney_medulla-atac-seq-donor1	Kidney	Kidney Medulla					Bulk ATAC
GSM4873492	GSE152300, GSE152302	kidney_medulla-atac-seq-donor2	Kidney	Kidney Medulla					Bulk ATAC
GSM4873493	GSE152300, GSE152302	kidney_medulla-atac-seq-donor3	Kidney	Kidney Medulla					Bulk ATAC
GSM4873494	GSE152301, GSE152302	kidney_cortex-rna-seq-donor1	Kidney	Kidney Cortex				1	Bulk RNA
GSM4873495	GSE152301, GSE152302	kidney_cortex-rna-seq-donor2	Kidney	Kidney Cortex				2	Bulk RNA
GSM4873496	GSE152301, GSE152302	kidney_cortex-rna-seq-donor3	Kidney	Kidney Cortex				3	Bulk RNA
GSM4873497	GSE152301, GSE152302	kidney_medulla-rna-seq-donor1	Kidney	Kidney Medulla				1	Bulk RNA
GSM4873498	GSE152301, GSE152302	kidney_medulla-rna-seq-donor2	Kidney	Kidney Medulla				2	Bulk RNA
GSM4873499	GSE152301, GSE152302	kidney_medulla-rna-seq-donor3	Kidney	Kidney Medulla				3	Bulk RNA
GSM5239693	GSE172008	human_kidney_sample_-_snatac-seq_rep1	Kidney	Kidney		female	52		Single-cell ATAC
GSM5239694	GSE172008	human_kidney_sample_-_snatac-seq_rep2	Kidney	Kidney		male	70		Single-cell ATAC
GSM5554405	GSE183273, GSE183279	bukmap_20190529d_snare2-r	Kidney	Kidney Medulla					Single-cell RNA
GSM5554406	GSE183273, GSE183279	bukmap_20190529d_snare2-ac	Kidney	Kidney Medulla					Single-cell ATAC
GSM5554407	GSE183273, GSE183279	bukmap_20190529e_snare2-r	Kidney	Kidney Medulla					Single-cell RNA
GSM5554408	GSE183273, GSE183279	bukmap_20190529e_snare2-ac	Kidney	Kidney Medulla					Single-cell ATAC
GSM5554409	GSE183273, GSE183279	bukmap_20190529f_snare2-r	Kidney	Kidney Cortex					Single-cell RNA
GSM5554410	GSE183273, GSE183279	bukmap_20190529f_snare2-ac	Kidney	Kidney Cortex					Single-cell ATAC
GSM5554411	GSE183273, GSE183279	bukmap_20190529g_snare2-r	Kidney	Kidney Cortex					Single-cell RNA
GSM5554412	GSE183273, GSE183279	bukmap_20190529g_snare2-ac	Kidney	Kidney Cortex					Single-cell ATAC
GSM5554413	GSE183273, GSE183279	bukmap_20190822a_snare2-r	Kidney	Kidney Medulla					Single-cell RNA
GSM5554414	GSE183273, GSE183279	bukmap_20190822a_snare2-ac	Kidney	Kidney Medulla					Single-cell ATAC
GSM5554415	GSE183273, GSE183279	bukmap_20190822b_snare2-r	Kidney	Kidney Medulla					Single-cell RNA
GSM5554416	GSE183273, GSE183279	bukmap_20190822b_snare2-ac	Kidney	Kidney Medulla					Single-cell ATAC
GSM5554417	GSE183273, GSE183279	bukmap_20190822c_snare2-r	Kidney	Kidney Medulla					Single-cell RNA
GSM5554418	GSE183273, GSE183279	bukmap_20190822c_snare2-ac	Kidney	Kidney Medulla					Single-cell ATAC
GSM5554419	GSE183273, GSE183279	bukmap_20190822d_snare2-r	Kidney	Kidney Cortex					Single-cell RNA
GSM5554420	GSE183273, GSE183279	bukmap_20190822d_snare2-ac	Kidney	Kidney Cortex					Single-cell ATAC
GSM5554421	GSE183273, GSE183279	bukmap_20190822e_snare2-r	Kidney	Kidney Medulla					Single-cell RNA
