sample_geo_accession	sample_series_id.x	sample_name	super_tissue	tissue	cell_type	sex	age	donor	technology
GSM4953404	GSE162515	atac-seq_f002-c1-n1	Thyroid	Normal thyroid				C1	Bulk ATAC
GSM4953407	GSE162515	atac-seq_f005-c2-n1	Thyroid	Normal thyroid				C2	Bulk ATAC
GSM4953410	GSE162515	atac-seq_f010-c4-n1	Thyroid	Normal thyroid				C4	Bulk ATAC
GSM4953411	GSE162515	atac-seq_f014-c5-n1	Thyroid	Normal thyroid				C5	Bulk ATAC
GSM4953413	GSE162515	atac-seq_f018-c7-n1	Thyroid	Normal thyroid				C7	Bulk ATAC
GSM4953416	GSE162515	atac-seq_f021-c8-n1	Thyroid	Normal thyroid				C8	Bulk ATAC
GSM4953422	GSE162515	atac-seq_f028-c10-n1	Thyroid	Normal thyroid				C10	Bulk ATAC
GSM4953426	GSE162515	atac-seq_f033-c11-n1	Thyroid	Normal thyroid				C11	Bulk ATAC
GSM4953430	GSE162515	atac-seq_f037-c12-n1	Thyroid	Normal thyroid				C12	Bulk ATAC
GSM4953435	GSE162515	atac-seq_f042-c13-n1	Thyroid	Normal thyroid				C13	Bulk ATAC
GSM4953436	GSE162515	atac-seq_f043-c14-n1	Thyroid	Normal thyroid				C14	Bulk ATAC
GSM4953438	GSE162515	atac-seq_f045-c15-n1	Thyroid	Normal thyroid				C15	Bulk ATAC
GSM4953440	GSE162515	atac-seq_f047-c16-n1	Thyroid	Normal thyroid				C16	Bulk ATAC
GSM4953442	GSE162515	atac-seq_f049-c17-n1	Thyroid	Normal thyroid				C17	Bulk ATAC
GSM4953444	GSE162515	atac-seq_f051-c18-n1	Thyroid	Normal thyroid				C18	Bulk ATAC
GSM4953448	GSE162515	atac-seq_f056-c19-n1	Thyroid	Normal thyroid				C19	Bulk ATAC
GSM4953450	GSE162515	atac-seq_f060-c21-n1	Thyroid	Normal thyroid				C21	Bulk ATAC
GSM4953453	GSE162515	atac-seq_f063-c22-n1	Thyroid	Normal thyroid				C22	Bulk ATAC
GSM4953455	GSE162515	atac-seq_f065-c23-n1	Thyroid	Normal thyroid				C23	Bulk ATAC
GSM4953459	GSE162515	atac-seq_f069-c24-n1	Thyroid	Normal thyroid				C24	Bulk ATAC
GSM4953461	GSE162515	atac-seq_f071-c25-n1	Thyroid	Normal thyroid				C25	Bulk ATAC
GSM4953465	GSE162515	atac-seq_f075-c26-n1	Thyroid	Normal thyroid				C26	Bulk ATAC
GSM4953470	GSE162515	atac-seq_f080-c27-n1	Thyroid	Normal thyroid				C27	Bulk ATAC
GSM4953473	GSE162515	atac-seq_f083-c28-n1	Thyroid	Normal thyroid				C28	Bulk ATAC
GSM4953479	GSE162515	atac-seq_f089-c30-n1	Thyroid	Normal thyroid				C30	Bulk ATAC
GSM4953483	GSE162515	atac-seq_f093-c31-n1	Thyroid	Normal thyroid				C31	Bulk ATAC
GSM4953490	GSE162515	atac-seq_f102-c34-n1	Thyroid	Normal thyroid				C34	Bulk ATAC
GSM4953492	GSE162515	atac-seq_f104-c35-n1	Thyroid	Normal thyroid				C35	Bulk ATAC
GSM4953495	GSE162515	rna-seq_f002-c1-n1	Thyroid	Normal thyroid				C1	Bulk RNA
GSM4953498	GSE162515	rna-seq_f005-c2-n1	Thyroid	Normal thyroid				C2	Bulk RNA
GSM4953501	GSE162515	rna-seq_f010-c4-n1	Thyroid	Normal thyroid				C4	Bulk RNA
GSM4953502	GSE162515	rna-seq_f014-c5-n1	Thyroid	Normal thyroid				C5	Bulk RNA
GSM4953504	GSE162515	rna-seq_f018-c7-n1	Thyroid	Normal thyroid				C7	Bulk RNA
GSM4953512	GSE162515	rna-seq_f028-c10-n1	Thyroid	Normal thyroid				C10	Bulk RNA
GSM4953516	GSE162515	rna-seq_f033-c11-n1	Thyroid	Normal thyroid				C11	Bulk RNA
GSM4953520	GSE162515	rna-seq_f037-c12-n1	Thyroid	Normal thyroid				C12	Bulk RNA
GSM4953524	GSE162515	rna-seq_f042-c13-n1	Thyroid	Normal thyroid				C13	Bulk RNA
GSM4953525	GSE162515	rna-seq_f043-c14-n1	Thyroid	Normal thyroid				C14	Bulk RNA
GSM4953527	GSE162515	rna-seq_f045-c15-n1	Thyroid	Normal thyroid				C15	Bulk RNA
GSM4953529	GSE162515	rna-seq_f047-c16-n1	Thyroid	Normal thyroid				C16	Bulk RNA
GSM4953531	GSE162515	rna-seq_f049-c17-n1	Thyroid	Normal thyroid				C17	Bulk RNA
GSM4953533	GSE162515	rna-seq_f051-c18-n1	Thyroid	Normal thyroid				C18	Bulk RNA
GSM4953537	GSE162515	rna-seq_f056-c19-n1	Thyroid	Normal thyroid				C19	Bulk RNA
GSM4953539	GSE162515	rna-seq_f058-c20-n1	Thyroid	Normal thyroid				C20	Bulk RNA
GSM4953541	GSE162515	rna-seq_f060-c21-n1	Thyroid	Normal thyroid				C21	Bulk RNA
GSM4953544	GSE162515	rna-seq_f063-c22-n1	Thyroid	Normal thyroid				C22	Bulk RNA
GSM4953546	GSE162515	rna-seq_f065-c23-n1	Thyroid	Normal thyroid				C23	Bulk RNA
GSM4953550	GSE162515	rna-seq_f069-c24-n1	Thyroid	Normal thyroid				C24	Bulk RNA
GSM4953552	GSE162515	rna-seq_f071-c25-n1	Thyroid	Normal thyroid				C25	Bulk RNA
GSM4953556	GSE162515	rna-seq_f075-c26-n1	Thyroid	Normal thyroid				C26	Bulk RNA
GSM4953560	GSE162515	rna-seq_f080-c27-n1	Thyroid	Normal thyroid				C27	Bulk RNA
GSM4953562	GSE162515	rna-seq_f083-c28-n1	Thyroid	Normal thyroid				C28	Bulk RNA
GSM4953568	GSE162515	rna-seq_f089-c30-n1	Thyroid	Normal thyroid				C30	Bulk RNA
GSM4953570	GSE162515	rna-seq_f093-c31-n1	Thyroid	Normal thyroid				C31	Bulk RNA
GSM4953578	GSE162515	rna-seq_f104-c35-n1	Thyroid	Normal thyroid				C35	Bulk RNA
