sample_geo_accession	sample_series_id.x	sample_name	super_tissue	tissue	cell_type	sex	age	donor	technology
GSM5363301	GSE176367	pp_44_bulk_atac-seq_	Tonsil	Tonsil		male	14		Bulk ATAC
GSM5363302	GSE176367	pp_69_bulk_atac-seq_	Tonsil	Tonsil		male	12		Bulk ATAC
GSM5363303	GSE176367	pp_72_bulk_atac-seq_	Tonsil	Tonsil		male	29		Bulk ATAC
GSM5363304	GSE176367	pp_73_bulk_atac-seq_	Tonsil	Tonsil		male	17		Bulk ATAC
GSM5363305	GSE176367	pn_44_bulk_atac-seq_	Tonsil	Tonsil		male	13		Bulk ATAC
GSM5363306	GSE176367	pn_45_bulk_atac-seq_	Tonsil	Tonsil		male	35		Bulk ATAC
GSM5363307	GSE176367	pn_69_bulk_atac-seq_	Tonsil	Tonsil		male	12		Bulk ATAC
GSM5363308	GSE176367	pn_72_bulk_atac-seq_	Tonsil	Tonsil		male	29		Bulk ATAC
GSM5363309	GSE176367	pn_73_bulk_atac-seq_	Tonsil	Tonsil		male	17		Bulk ATAC
GSM5363310	GSE176367	nn_44_bulk_atac-seq_	Tonsil	Tonsil		male	13		Bulk ATAC
GSM5363311	GSE176367	nn_45_bulk_atac-seq_	Tonsil	Tonsil		male	35		Bulk ATAC
GSM5363312	GSE176367	nn_69_bulk_atac-seq_	Tonsil	Tonsil		male	12		Bulk ATAC
GSM5363313	GSE176367	nn_72_bulk_atac-seq_	Tonsil	Tonsil		male	29		Bulk ATAC
GSM5363314	GSE176367	nn_73_bulk_atac-seq_	Tonsil	Tonsil		male	17		Bulk ATAC
GSM5363315	GSE176367	nkp44_44_bulk_atac-seq_	Tonsil	Tonsil		male	13		Bulk ATAC
GSM5363316	GSE176367	nkp44_45_bulk_atac-seq_	Tonsil	Tonsil		male	35		Bulk ATAC
GSM5363317	GSE176367	nkp44_69_bulk_atac-seq_	Tonsil	Tonsil		male	12		Bulk ATAC
GSM5363318	GSE176367	nkp44_72_bulk_atac-seq_	Tonsil	Tonsil		male	29		Bulk ATAC
GSM5363319	GSE176367	nkp44_73_bulk_atac-seq_	Tonsil	Tonsil		male	17		Bulk ATAC
GSM5363320	GSE176367	ilc2_44_bulk_atac-seq_	Tonsil	Tonsil		male	14		Bulk ATAC
GSM5363321	GSE176367	ilc2_69_bulk_atac-seq_	Tonsil	Tonsil		male	12		Bulk ATAC
GSM5363322	GSE176367	ilc2_72_bulk_atac-seq_	Tonsil	Tonsil		male	29		Bulk ATAC
GSM5363323	GSE176367	ilc2_73_bulk_atac-seq_	Tonsil	Tonsil		male	17		Bulk ATAC
GSM5363324	GSE176367	ilc1_44_bulk_atac-seq_	Tonsil	Tonsil		male	14		Bulk ATAC
GSM5363325	GSE176367	ilc1_69_bulk_atac-seq_	Tonsil	Tonsil		male	12		Bulk ATAC
GSM5363326	GSE176367	ilc1_72_bulk_atac-seq_	Tonsil	Tonsil		male	29		Bulk ATAC
GSM5363327	GSE176367	ilc1_73_bulk_atac-seq_	Tonsil	Tonsil		male	17		Bulk ATAC
