sample_geo_accession	sample_series_id.x	sample_name	super_tissue	tissue	cell_type	sex	age	donor	technology
GSM3381898	GSE119732, GSE119734	a1	Blood	PBMC	Naive CD4 T cells	male		A	Bulk RNA
GSM3381899	GSE119732, GSE119734	a2	Blood	PBMC	GM-CSF positive CD4 T cells	male		A	Bulk RNA
GSM3381900	GSE119732, GSE119734	a3	Blood	PBMC	GM-CSF negative CD4 T cells	male		A	Bulk RNA
GSM3381901	GSE119732, GSE119734	a4	Blood	PBMC	Bulk CD4 T cells	male		A	Bulk RNA
GSM3381902	GSE119732, GSE119734	b1	Blood	PBMC	Naive CD4 T cells	male		B	Bulk RNA
GSM3381903	GSE119732, GSE119734	b2	Blood	PBMC	GM-CSF positive CD4 T cells	male		B	Bulk RNA
GSM3381904	GSE119732, GSE119734	b3	Blood	PBMC	GM-CSF negative CD4 T cells	male		B	Bulk RNA
GSM3381905	GSE119732, GSE119734	b4	Blood	PBMC	Bulk CD4 T cells	male		B	Bulk RNA
GSM3381906	GSE119732, GSE119734	b5	Blood	PBMC	Memory CD4 T cells	male		B	Bulk RNA
GSM3381907	GSE119732, GSE119734	c1	Blood	PBMC	Naive CD4 T cells	male		C	Bulk RNA
GSM3381908	GSE119732, GSE119734	c2	Blood	PBMC	GM-CSF positive CD4 T cells	male		C	Bulk RNA
GSM3381909	GSE119732, GSE119734	c3	Blood	PBMC	GM-CSF negative CD4 T cells	male		C	Bulk RNA
GSM3381910	GSE119732, GSE119734	c4	Blood	PBMC	Bulk CD4 T cells	male		C	Bulk RNA
GSM3381911	GSE119732, GSE119734	c5	Blood	PBMC	Memory CD4 T cells	male		C	Bulk RNA
GSM3381912	GSE119732, GSE119734	d1	Blood	PBMC	Naive CD4 T cells	male		D	Bulk RNA
GSM3381913	GSE119732, GSE119734	d2	Blood	PBMC	GM-CSF positive CD4 T cells	male		D	Bulk RNA
GSM3381914	GSE119732, GSE119734	d3	Blood	PBMC	GM-CSF negative CD4 T cells	male		D	Bulk RNA
