sample_geo_accession	sample_series_id.x	sample_name	super_tissue	tissue	cell_type	sex	age	donor	technology
GSM6058773	GSE201336, GSE201349	a001-c-023_replicate1_dounce_scatacseq	Colon	Colon		male			Single-cell ATAC
GSM6058774	GSE201336, GSE201349	a001-c-023_replicate2_dounce_scatacseq	Colon	Colon		male			Single-cell ATAC
GSM6058779	GSE201336, GSE201349	a001-c-123_dounce_scatacseq	Colon	Colon		male			Single-cell ATAC
GSM6058780	GSE201336, GSE201349	a001-c-124_replicate1_dounce_scatacseq	Colon	Colon		male			Single-cell ATAC
GSM6058781	GSE201336, GSE201349	a001-c-124_replicate2_dounce_scatacseq	Colon	Colon		male			Single-cell ATAC
GSM6058786	GSE201336, GSE201349	a001-c-223_dounce_scatacseq	Colon	Colon		male			Single-cell ATAC
GSM6058792	GSE201336, GSE201349	a002-c-024_dounce_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6058793	GSE201336, GSE201349	a002-c-025_dounce_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6058794	GSE201336, GSE201349	a002-c-025_s2_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6058799	GSE201336, GSE201349	a002-c-121_dounce_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6058800	GSE201336, GSE201349	a002-c-121_s2_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6058806	GSE201336, GSE201349	a002-c-212_dounce_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6058817	GSE201336, GSE201349	a014-c-052_dounce_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6058818	GSE201336, GSE201349	a014-c-054_dounce_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6058821	GSE201336, GSE201349	a014-c-111_dounce_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6058822	GSE201336, GSE201349	a014-c-114_dounce_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6058823	GSE201336, GSE201349	a014-c-201_dounce_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6058828	GSE201336, GSE201349	a015-c-008_dounce_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6058829	GSE201336, GSE201349	a015-c-010_dounce_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6058833	GSE201336, GSE201349	a015-c-109_dounce_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6058837	GSE201336, GSE201349	a015-c-206_dounce_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6058838	GSE201336, GSE201349	a015-c-208_dounce_scatacseq	Colon	Colon		female			Single-cell ATAC
GSM6061647	GSE201348, GSE201349	a001-c-023_snrnaseq	Colon	Colon		male			Single-cell RNA
GSM6061651	GSE201348, GSE201349	a001-c-124_snrnaseq	Colon	Colon		male			Single-cell RNA
GSM6061655	GSE201348, GSE201349	a001-c-223_snrnaseq	Colon	Colon		male			Single-cell RNA
GSM6061660	GSE201348, GSE201349	a002-c-024_snrnaseq	Colon	Colon		female			Single-cell RNA
GSM6061664	GSE201348, GSE201349	a002-c-121_replicate2_snrnaseq	Colon	Colon		female			Single-cell RNA
GSM6061665	GSE201348, GSE201349	a002-c-121_replicate1_snrnaseq	Colon	Colon		female			Single-cell RNA
GSM6061670	GSE201348, GSE201349	a002-c-212_snrnaseq	Colon	Colon		female			Single-cell RNA
GSM6061679	GSE201348, GSE201349	a014-c-052_snrnaseq	Colon	Colon		female			Single-cell RNA
GSM6061680	GSE201348, GSE201349	a014-c-054_snrnaseq	Colon	Colon		female			Single-cell RNA
GSM6061683	GSE201348, GSE201349	a014-c-111_snrnaseq	Colon	Colon		female			Single-cell RNA
GSM6061684	GSE201348, GSE201349	a014-c-114_snrnaseq	Colon	Colon		female			Single-cell RNA
GSM6061685	GSE201348, GSE201349	a014-c-201_snrnaseq	Colon	Colon		female			Single-cell RNA
GSM6061690	GSE201348, GSE201349	a015-c-008_snrnaseq	Colon	Colon		female			Single-cell RNA
GSM6061691	GSE201348, GSE201349	a015-c-010_snrnaseq	Colon	Colon		female			Single-cell RNA
GSM6061694	GSE201348, GSE201349	a015-c-109_snrnaseq	Colon	Colon		female			Single-cell RNA
GSM6061698	GSE201348, GSE201349	a015-c-208_snrnaseq	Colon	Colon		female			Single-cell RNA
GSM6325734	GSE207949, GSE207954	a002c122	Colon	colon				A002	Bulk RNA
GSM6325735	GSE207949, GSE207954	a002c212	Colon	colon				A002	Bulk RNA
GSM6325742	GSE207949, GSE207954	a014c053	Colon	colon				A014	Bulk RNA
GSM6325743	GSE207949, GSE207954	a014c054	Colon	colon				A014	Bulk RNA
GSM6325746	GSE207949, GSE207954	a015c010	Colon	colon				A015	Bulk RNA
GSM6326095	GSE207950, GSE207954	a002c122_atac-seq_	Colon	colon				A002	Bulk ATAC
GSM6326097	GSE207950, GSE207954	a002c212_atac-seq_	Colon	colon				A002	Bulk ATAC
GSM6326101	GSE207950, GSE207954	a014c053_atac-seq_	Colon	colon				A014	Bulk ATAC
GSM6326102	GSE207950, GSE207954	a014c054_atac-seq_	Colon	colon				A014	Bulk ATAC
GSM6326104	GSE207950, GSE207954	a014c057_atac-seq_	Colon	colon				A014	Bulk ATAC
GSM6326108	GSE207950, GSE207954	a015c010_atac-seq_	Colon	colon				A015	Bulk ATAC
